circuit,original,,maxLevel=1,,,,,,,,maxLevel=2,,,,,,,,maxLevel=4,,,,,,,,maxLevel=inf,,,,,,,
,area,delay,NMED,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR
CLA32,1063,45.8,1.34E-05,339,36.8,3267.2727,,0.318908749,,,1.34E-05,339,36.8,3291.536659,,0.318908749,,,1.34E-05,339,36.8,3321.276819,,0.318908749,,,1.34E-05,339,36.8,3358.849265,,0.318908749,,
KSA32,1128,27,1.33E-05,432,24.6,7609.678731,,0.382978723,,,8.94E-06,432,24.2,7706.612649,,0.382978723,,,1.48E-05,397,24.2,7803.928088,,0.351950355,,,1.48E-05,397,24.2,7861.331259,,0.351950355,,
MUL8,1276,67.9,1.52E-05,1019,61.8,859.164313,,0.798589342,,,1.53E-05,1019,61.8,967.739764,,0.798589342,,,1.53E-05,1019,61.8,973.206681,,0.798589342,,,1.53E-05,1019,61.8,974.488887,,0.798589342,,
RCA32,691,42.8,0.0000142,288,26.1,1740.978213,,0.416787265,,,1.48E-05,276,26.1,1827.302064,,0.399421129,,,1.48E-05,276,26.1,1923.37602,,0.399421129,,,1.48E-05,272,26.1,1928.255833,,0.393632417,,
WAL8,1104,69.6,0.000013337,1004,64.4,1517.749383,,0.90942029,,,0.000013337,1004,64.4,1526.982399,,0.90942029,,,1.52E-05,1001,64.5,1530.404144,,0.906702899,,,1.52E-05,1001,64.5,1531.658257,,0.906702899,,
