circuit,ER,area,delay
c7552,0.00545,2424,156.8
c7552,0.04468,2340,154.4
c7552,0.04751,2327,154.8
c7552,0.0499,2324,154.8
c880,0.00017,578,38.8
c880,0.0007,548,38.5
c880,0.00075,548,38.5
c880,0.00297,537,38.2
c880,0.00458,526,38.1
c880,0.01421,516,34.1
c880,0.02058,510,34.2
c880,0.02646,505,34.2
c880,0.03223,501,33.3
c880,0.04254,490,33.2
c880,0.04762,487,33.2
cla32,0,919,56.5
cla32,0,902,49.4
cla32,0,912,56.5
cla32,0,950,57
cla32,0.00001,882,54.5
cla32,0.00001,881,48.1
cla32,0.00002,895,49.8
cla32,0.00003,881,49.4
cla32,0.00003,890,49.4
cla32,0.00003,889,53.7
cla32,0.00005,865,46.3
cla32,0.00006,872,45.7
cla32,0.00007,874,45.7
cla32,0.00008,860,46.3
cla32,0.00008,889,53.7
cla32,0.0001,854,46.7
cla32,0.00011,852,46.7
cla32,0.00045,844,46.7
cla32,0.00074,844,46.7
cla32,0.00234,834,47.7
cla32,0.00429,830,47.7
cla32,0.00571,820,48.1
cla32,0.00623,826,47.7
cla32,0.00917,806,48.1
cla32,0.0093,805,48.1
cla32,0.0095,813,48.1
cla32,0.01,809,48.1
cla32,0.02126,799,48.1
cla32,0.02127,796,48.1
cla32,0.02719,794,48.1
cla32,0.02773,794,48.1
cla32,0.04302,790,44.6
ksa32,0,1088,26.7
ksa32,0,1120,27
ksa32,0,1112,27
ksa32,0.00001,1075,26.5
ksa32,0.00001,1029,24
ksa32,0.00002,1076,30
ksa32,0.00002,1100,27
ksa32,0.00002,1068,26.3
ksa32,0.00002,1042,25.8
ksa32,0.00003,1061,26.3
ksa32,0.00003,1029,24
ksa32,0.00003,1033,23.2
ksa32,0.00003,1034,25.7
ksa32,0.00003,1106,27
ksa32,0.00004,1036,23.2
ksa32,0.00004,1029,24
ksa32,0.00004,1034,25.7
ksa32,0.00004,1029,24
ksa32,0.00004,1029,24
ksa32,0.00005,1032,24
ksa32,0.00005,1033,23.2
ksa32,0.00005,1032,24
ksa32,0.00005,1029,24
ksa32,0.00006,1064,25.8
ksa32,0.00006,1036,23.2
ksa32,0.00006,1046,25.8
ksa32,0.00006,1029,24
ksa32,0.00006,1055,25.8
ksa32,0.00006,1034,25.7
ksa32,0.00006,1032,24
ksa32,0.00007,1081,26.7
ksa32,0.00007,1070,30
ksa32,0.00008,1034,25.7
ksa32,0.00008,1036,23.2
ksa32,0.00008,1034,25.7
ksa32,0.00009,1042,25.8
ksa32,0.00009,1034,25.7
ksa32,0.00012,1032,24
ksa32,0.00012,1034,25.7
ksa32,0.00095,999,25.3
ksa32,0.001,999,25.3
ksa32,0.00163,1000,25.3
ksa32,0.00277,1001,25.3
ksa32,0.00325,999,25.3
ksa32,0.00402,996,25.3
ksa32,0.00506,993,25.3
ksa32,0.00568,991,25.3
ksa32,0.00616,987,24.5
ksa32,0.00732,981,24.5
ksa32,0.00793,981,24.5
ksa32,0.00835,977,24.5
ksa32,0.01003,971,24.5
ksa32,0.01146,964,24.5
ksa32,0.01277,955,24.5
ksa32,0.01305,961,24.5
ksa32,0.01339,955,24.5
ksa32,0.01458,947,24.5
ksa32,0.01459,951,24.5
ksa32,0.01707,935,24.5
ksa32,0.01739,935,24.5
ksa32,0.01786,924,24.5
ksa32,0.01801,924,24.5
ksa32,0.01936,911,24.5
ksa32,0.01957,911,24.5
ksa32,0.01991,901,24.5
ksa32,0.02038,901,24.5
ksa32,0.02072,891,23.5
ksa32,0.02116,881,23.5
ksa32,0.0216,891,23.5
ksa32,0.02234,871,21.8
ksa32,0.02328,851,19.6
ksa32,0.02351,851,19.6
ksa32,0.02386,851,19.6
ksa32,0.03653,845,20.4
ksa32,0.04853,843,19.6
mul8,0,1029,61
mul8,0,1043,61.4
mul8,0,1056,61.4
mul8,0,1034,61
mul8,0,1064,62.1
mul8,0,1048,61.4
mul8,0,1052,61.4
mul8,0,1036,61
mul8,0,1038,61.8
mul8,0,1041,61.4
mul8,0,1060,61.8
mul8,0,1037,61.8
mul8,0.02268,1012,61
mul8,0.03468,1003,61
mul8,0.03501,1008,61
mul8,0.04137,1002,61.3
rca32,0.00007,677,28.5
rca32,0.00207,670,26.9
rca32,0.00387,664,28
rca32,0.03326,655,28
rca32,0.04761,651,28
wtm8,0,1061,64.9
wtm8,0,1064,64.9
wtm8,0,1064,64.9
wtm8,0,1057,64.2
wtm8,0,1067,64.9
wtm8,0,1070,64.9
wtm8,0,1062,64.9
wtm8,0,1075,66.4
wtm8,0,1056,64.2
wtm8,0,1059,64.9
wtm8,0,1068,64.9
wtm8,0,1068,64.9
wtm8,0,1072,65.4
wtm8,0,1066,64.9
wtm8,0,1066,64.9
wtm8,0,1066,64.9
wtm8,0.0001,1054,64.2
wtm8,0.00128,1054,67.1
wtm8,0.00304,1053,66.7
wtm8,0.00539,1053,69.6
wtm8,0.00963,1044,68.9
wtm8,0.01097,1044,67.5
wtm8,0.01159,1043,68.9
wtm8,0.01796,1041,67.5
wtm8,0.02283,1039,67.4
wtm8,0.03349,1036,67.4
wtm8,0.03591,1034,67.4
wtm8,0.04323,1032,67.4
wtm8,0.04854,1031,67.4
zalu4,0,2740,50.1
zalu4,0,2735,50
zalu4,0,2748,49
zalu4,0,2729,50
zalu4,0,2727,51.3
zalu4,0,2745,50.3
zalu4,0,2719,51.4
zalu4,0,2724,51.4
zalu4,0,2737,50.1
zalu4,0,2731,50
zalu4,0,2740,50.1
zalu4,0,2743,50.3
zalu4,0.00004,2714,51.4
zalu4,0.00009,2707,51.4
zalu4,0.00009,2719,51.4
zalu4,0.00012,2705,51.4
zalu4,0.00014,2707,51.4
zalu4,0.00017,2705,51.4
zalu4,0.00017,2707,51.4
zalu4,0.00027,2701,51.4
zalu4,0.00029,2683,51.4
zalu4,0.0003,2689,51.4
zalu4,0.00042,2694,51.4
zalu4,0.0005,2659,51.4
zalu4,0.00054,2666,51.4
zalu4,0.00055,2658,51.4
zalu4,0.00065,2662,51.4
zalu4,0.00074,2653,51.4
zalu4,0.00087,2643,51.4
zalu4,0.0009,2648,51.4
zalu4,0.0009,2628,51.4
zalu4,0.00107,2607,51.4
zalu4,0.00111,2626,51.4
zalu4,0.00135,2596,51.7
zalu4,0.00152,2552,51.7
zalu4,0.00154,2572,51.7
zalu4,0.00158,2567,51.7
zalu4,0.00158,2601,51.7
zalu4,0.00161,2588,51.7
zalu4,0.00162,2590,51.7
zalu4,0.00164,2566,51.7
zalu4,0.00168,2579,51.7
zalu4,0.00182,2561,51.7
zalu4,0.0019,2543,51.7
zalu4,0.00217,2529,51.6
zalu4,0.00219,2499,51.6
zalu4,0.0022,2534,51.7
zalu4,0.00224,2506,51.6
zalu4,0.00227,2514,51.6
zalu4,0.0023,2515,51.6
zalu4,0.0024,2522,51.6
zalu4,0.00242,2526,51.6
zalu4,0.00247,2519,51.6
zalu4,0.0027,2488,46
zalu4,0.00283,2502,51.6
zalu4,0.00303,2472,51.3
zalu4,0.00312,2481,51.3
zalu4,0.00319,2458,51.2
zalu4,0.0032,2464,51.2
zalu4,0.0034,2454,51.2
zalu4,0.00358,2442,51.2
zalu4,0.00382,2436,51
zalu4,0.00383,2439,51
zalu4,0.00386,2430,51
zalu4,0.00393,2412,51
zalu4,0.00403,2415,51
zalu4,0.00457,2402,50.9
zalu4,0.00465,2393,50.9
zalu4,0.00476,2390,50.9
zalu4,0.00483,2396,50.9
zalu4,0.005,2383,46
zalu4,0.00502,2386,50.9
zalu4,0.0052,2402,50.9
zalu4,0.00533,2379,43.8
zalu4,0.00538,2360,43.5
zalu4,0.00543,2373,43.5
zalu4,0.00569,2365,43.5
zalu4,0.00594,2350,50.9
zalu4,0.00637,2337,50.9
zalu4,0.00647,2319,48.8
zalu4,0.00647,2325,50.9
zalu4,0.00647,2330,50.9
zalu4,0.00661,2309,49.2
zalu4,0.00676,2334,50.9
zalu4,0.00681,2312,49
zalu4,0.007,2314,48.8
