wal8,0.00925,1048.00,68.20
c3540,0.03081,1459.00,83.20
alu4,0.00119,2579.00,45.90
cla32,0.03861,793.00,48.10
c7552,0,2650.00,161.20
alu4,0.00067,2635.00,46.30
c7552,0,2678.00,160.70
c880,0.00071,551.00,38.80
ksa32,0.01796,896.00,24.50
c1908,0.02662,516.00,56.30
cla32,0.00234,838.00,50.60
ksa32,0.01068,964.00,24.70
c2670,0,968.00,47.40
c3540,0.02503,1496.00,82.10
alu4,0.0003,2681.00,47.00
alu4,0.03255,1516.00,38.50
alu4,0.01349,1950.00,39.00
c1908,0.00108,732.00,60.40
c3540,0.03943,1377.00,82.50
alu4,0.00327,2421.00,44.20
cla32,0.00077,848.00,50.60
c1908,0.01975,596.00,56.50
c1908,0.03131,423.00,50.50
c3540,0.04228,1354.00,81.40
alu4,0.01516,1893.00,41.40
alu4,0.02642,1597.00,36.90
c880,0.00071,551.00,38.80
c5315,0,2397.00,76.30
wal8,0,1065.00,64.90
ksa32,0.00302,990.00,25.30
c1908,0.02561,540.00,51.20
ksa32,8e-05,1031.00,24.00
c880,0.00071,551.00,38.80
cla32,5e-05,869.00,53.60
alu4,0.03507,1485.00,37.70
c880,0.01449,519.00,34.40
c1908,0.00219,721.00,60.40
ksa32,0.03753,847.00,19.60
alu4,0.01149,2026.00,39.80
c2670,0.00906,931.00,46.30
wal8,0,1071.00,64.90
c1908,0.0337,348.00,34.40
alu4,0.00128,2573.00,45.70
alu4,0.02229,1689.00,41.10
alu4,0.00187,2512.00,45.20
alu4,0.01905,1771.00,41.30
c3540,0,1593.00,83.20
cla32,0.01072,813.00,48.10
alu4,0.00969,2082.00,42.10
alu4,0.00024,2687.00,47.00
c2670,0,963.00,47.40
c3540,0.00514,1557.00,82.90
alu4,0.00512,2298.00,41.90
alu4,0.00394,2361.00,44.20
wal8,0,1064.00,64.90
wal8,0,1065.00,64.90
c3540,0.02153,1504.00,82.80
ksa32,0.01967,887.00,24.50
c1908,0.0337,348.00,34.40
ksa32,0.0049,977.00,25.30
c1908,0.00688,696.00,60.40
c1908,0.00983,669.00,58.90
cla32,0.00045,851.00,50.60
alu4,0.00756,2162.00,43.10
alu4,0.01995,1753.00,41.00
alu4,0.00032,2676.00,47.00
c1908,0.02767,487.00,50.30
c3540,0,1601.00,83.40
alu4,0.0002,2692.00,47.10
c3540,0.01715,1519.00,83.20
alu4,0.01839,1800.00,41.50
alu4,0.02525,1621.00,38.00
alu4,0.00212,2493.00,45.40
alu4,0.01552,1887.00,41.10
cla32,0,921.00,56.70
c1908,0.03205,402.00,43.70
alu4,0.0133,1957.00,39.10
c1908,0.03286,384.00,43.80
alu4,0.04175,1398.00,33.90
alu4,2e-05,2713.00,47.10
wal8,0.03632,1024.00,68.20
cla32,0.01357,808.00,52.00
ksa32,0,1087.00,26.80
alu4,0.02494,1633.00,39.40
cla32,0.00012,862.00,50.40
alu4,0.03806,1438.00,36.80
alu4,0.00369,2397.00,44.20
ksa32,0,1117.00,26.90
c1908,0,751.00,60.40
rca32,0.0021,670.00,26.90
alu4,0.01481,1902.00,41.40
ksa32,0.01913,888.00,24.50
c3540,0.01616,1522.00,83.20
c2670,0,968.00,47.40
cla32,0,926.00,56.80
alu4,0.00551,2272.00,41.70
